reaction,has_rclass,has_main_pair,num_pairs
R13288,False,False,0
R01142,True,True,3
R08531,True,True,262
R10734,True,True,1
R00825,True,True,3
R12343,True,True,1
R09922,True,True,15
R05745,True,True,3
R07414,True,True,425
R11501,True,True,11
R04141,True,True,22
R12672,False,False,0
R05685,True,True,37
R00990,True,True,14
R06685,True,True,61
R11634,True,True,19
R09089,True,True,1
R13509,False,False,0
R01393,True,True,11
R00054,True,True,22
R08637,True,True,1
R08891,True,True,70
R09552,True,True,1
R08589,True,True,1
R08509,True,True,1
R02351,True,True,2
R06117,True,True,11
R08206,True,True,10
R06881,True,True,102
R03081,True,True,35
R13460,True,True,5
R05274,True,True,167
R08632,True,True,20
R09959,True,True,2
R00585,True,True,64
R05677,True,True,174
R09801,True,True,174
R13327,True,True,21
R03884,True,True,15
R01550,True,True,3
R07869,True,True,13
R02941,True,True,31
R03186,False,False,0
R10017,True,True,5
R09782,True,True,14
R07064,True,True,90
R00747,True,True,1
R09796,True,True,1
R09923,True,True,15
R02408,True,True,2
R08397,True,True,1
R03912,True,True,1
R08910,True,True,110
R01648,True,True,94
R01858,True,True,220
R00823,True,True,3
R05273,True,True,31
R05544,True,True,3
R01990,True,True,25
R10308,True,True,21
R05413,True,True,2
R05100,True,True,1
R01703,True,True,1
R05590,True,True,5
R13049,True,True,3
R11098,True,True,4
R10376,True,True,3
R00021,True,True,88
R11343,True,True,35
R00095,True,True,2
R05296,True,True,2
R03781,True,True,29
R05652,True,True,34
R07061,True,True,1
R06531,True,True,235
R12671,False,False,0
R05766,True,True,2
R11054,True,True,7
R01213,True,True,163
R01437,True,True,5
R04727,True,True,39
R08675,True,True,13
R02063,True,True,5
R03620,True,True,104
R02854,True,True,246
R12347,False,False,0
R00991,True,True,1
R00695,True,True,62
R07601,True,True,12
R09974,True,True,2
R07864,True,True,13
R12492,True,True,34
R03264,True,True,19
R08374,True,True,8
R11875,True,True,1
R01226,True,True,2
R00396,True,True,4
R00989,True,True,174
R08144,True,True,246
R10447,True,True,42
R01782,True,True,26
R12137,False,False,0
R01210,True,True,164
R08609,True,True,17
R02535,True,True,3
R00998,True,True,179
R01637,True,True,102
R04153,True,True,8
R06250,False,False,0
R00984,True,True,11
R02470,True,True,13
R00906,True,True,18
R06913,True,True,19
R00350,True,True,23
R09849,True,True,465
R07679,True,True,2
R09524,True,True,162
R00674,True,True,18
R08207,True,True,3
R06945,True,True,23
R09840,True,True,255
R12457,False,False,0
R04011,True,True,144
R05264,True,True,13
R08195,True,True,13
R01305,True,True,5
R10553,True,True,174
R08876,True,True,174
R13177,True,True,161
R08654,True,True,13
R13323,False,False,0
R10169,True,True,3
R06783,True,True,13
R02382,True,True,33
R10463,True,True,3
R00297,True,True,3
R11591,True,True,3
R05678,True,True,20
R07363,True,True,3
R12765,False,False,0
R06403,True,True,4
R07194,True,True,5
R04350,True,True,1
R12897,True,True,246
R03278,True,True,5
